Year,Date,Load
2023,08-Jan 2pm,185502.22
2023,08-Jan 3pm,182140.82
2023,08-Jan 4pm,177586.29
2023,08-Jan 5pm,174525.08
2023,08-Jan 6pm,175372.12
2023,08-Jan 7pm,173054.98
2023,08-Jan 8pm,165852.82
2023,08-Jan 9pm,159009.79
2023,08-Jan 10pm,152063.92
2023,08-Jan 11pm,145053.3
2023,09-Jan 12am,138625.44
2023,09-Jan 1am,134379.04
2023,09-Jan 2am,131715
2023,09-Jan 3am,131180.52
2023,09-Jan 4am,134934.05
2023,09-Jan 5am,145861.55
2023,09-Jan 6am,161223.49
2023,09-Jan 7am,179636.61
2023,09-Jan 8am,189804.6
2023,09-Jan 9am,198127.56
2023,09-Jan 10am,202301.68
2023,09-Jan 11am,201212.56
2023,09-Jan 12pm,198674.38
2023,09-Jan 1pm,193875.96
2023,09-Jan 2pm,189475.6
2023,09-Jan 3pm,188610.95
2023,09-Jan 4pm,186525.61
2023,09-Jan 5pm,184311.48
2023,09-Jan 6pm,184158.55
2023,09-Jan 7pm,179466.93
2023,09-Jan 8pm,171745.14
2023,09-Jan 9pm,165431.49
2023,09-Jan 10pm,158939.35
2023,09-Jan 11pm,151252.12
2023,10-Jan 12am,145530.83
2023,10-Jan 1am,140738.11
2023,10-Jan 2am,137517.4
2023,10-Jan 3am,136411.26
2023,10-Jan 4am,139417.65
2023,10-Jan 5am,150121.39
2023,10-Jan 6am,163359.72
2023,10-Jan 7am,180994.01
2023,10-Jan 8am,190779.84
2023,10-Jan 9am,198079.35
2023,10-Jan 10am,202676.69
2023,10-Jan 11am,202476.08
2023,10-Jan 12pm,200639.9
2023,10-Jan 1pm,196948.69
2023,10-Jan 2pm,193375.69
2023,10-Jan 3pm,191436.65
2023,10-Jan 4pm,188064.31
2023,10-Jan 5pm,184717.44
2023,10-Jan 6pm,183680.02
2023,10-Jan 7pm,179205.33
2023,10-Jan 8pm,170676.99
2023,10-Jan 9pm,164638.21
2023,10-Jan 10pm,159631.24
2023,10-Jan 11pm,151748.48
2023,11-Jan 12am,145443.91
2023,11-Jan 1am,141307.87
2023,11-Jan 2am,138663.29
2023,11-Jan 3am,137918.93
2023,11-Jan 4am,140751.96
2023,11-Jan 5am,151106.81
2023,11-Jan 6am,163414.95
2023,11-Jan 7am,179153.96
2023,11-Jan 8am,188578.01
2023,11-Jan 9am,197508.45
2023,11-Jan 10am,203602.32
2023,11-Jan 11am,203091.91
2023,11-Jan 12pm,202330.21
2023,11-Jan 1pm,197594.22
2023,11-Jan 2pm,195448.54
2023,11-Jan 3pm,193415.49
2023,11-Jan 4pm,188854.37
2023,11-Jan 5pm,184639.82
2023,11-Jan 6pm,184834.65
2023,11-Jan 7pm,180481.14
2023,11-Jan 8pm,173090.71
2023,11-Jan 9pm,167064.53
2023,11-Jan 10pm,160001.54
2023,11-Jan 11pm,152558.36
2023,12-Jan 12am,145759.19
2023,12-Jan 1am,141489.02
2023,12-Jan 2am,138101.09
2023,12-Jan 3am,137372.43
2023,12-Jan 4am,140508
2023,12-Jan 5am,150989.17
2023,12-Jan 6am,163681.89
2023,12-Jan 7am,179528.14
2023,12-Jan 8am,189705.66
2023,12-Jan 9am,198317.67
2023,12-Jan 10am,203368.74
2023,12-Jan 11am,201826.15
2023,12-Jan 12pm,200224.86
2023,12-Jan 1pm,196710.77
2023,12-Jan 2pm,194420.07
2023,12-Jan 3pm,191727.28
2023,12-Jan 4pm,186753.37
2023,12-Jan 5pm,183989.35
2023,12-Jan 6pm,183549.17
2023,12-Jan 7pm,179882.48
2023,12-Jan 8pm,171361.16
2023,12-Jan 9pm,166042.21
2023,12-Jan 10pm,159431
2023,12-Jan 11pm,152531.74
2023,13-Jan 12am,145434.55
2023,13-Jan 1am,140506.5
2023,13-Jan 2am,137895.94
2023,13-Jan 3am,137877.97
2023,13-Jan 4am,141117.9
2023,13-Jan 5am,151010.09
2023,13-Jan 6am,162704.94
2023,13-Jan 7am,177886.39
2023,13-Jan 8am,189005.52
2023,13-Jan 9am,196641.46
2023,13-Jan 10am,202260.42
2023,13-Jan 11am,201964.15
2023,13-Jan 12pm,200229.11
2023,13-Jan 1pm,196034.1
2023,13-Jan 2pm,193176.57
2023,13-Jan 3pm,188646.5
2023,13-Jan 4pm,185102.26
2023,13-Jan 5pm,180481.59
2023,13-Jan 6pm,181018.44
2023,13-Jan 7pm,176726.38
2023,13-Jan 8pm,168627.36
2023,13-Jan 9pm,163083.28
2023,13-Jan 10pm,156665.94
2023,13-Jan 11pm,149884.64
2023,14-Jan 12am,143939.4
2023,14-Jan 1am,139862.9
2023,14-Jan 2am,137009.98
2023,14-Jan 3am,136617.27
2023,14-Jan 4am,140603.13
2023,14-Jan 5am,150682.68
2023,14-Jan 6am,161289.27
2023,14-Jan 7am,173675.44
2023,14-Jan 8am,184988.71
2023,14-Jan 9am,195492
2023,14-Jan 10am,200398.45
2023,14-Jan 11am,197623.63
2023,14-Jan 12pm,194264.05
2023,14-Jan 1pm,187312.09
2023,14-Jan 2pm,181093.5
2023,14-Jan 3pm,177016.63
2023,14-Jan 4pm,173499.46
2023,14-Jan 5pm,168204.82
2023,14-Jan 6pm,168894.44
2023,14-Jan 7pm,168343.46
2023,14-Jan 8pm,160908.22
2023,14-Jan 9pm,154450.31
2023,14-Jan 10pm,148883.81
2023,14-Jan 11pm,142692
2023,15-Jan 12am,137225.44
2023,15-Jan 1am,132805.54
2023,15-Jan 2am,130218.79
2023,15-Jan 3am,130592.9
2023,15-Jan 4am,134039.38
2023,15-Jan 5am,143307.42
2023,15-Jan 6am,154545.63
2023,15-Jan 7am,167876.95
2023,15-Jan 8am,180888.86
2023,15-Jan 9am,191149.63
2023,15-Jan 10am,195871.8
2023,15-Jan 11am,193002.43
2023,15-Jan 12pm,187276.26
2023,15-Jan 1pm,180149.81
2023,15-Jan 2pm,174281.41
2023,15-Jan 3pm,170330.97
2023,15-Jan 4pm,166590.16
2023,15-Jan 5pm,161601.75
2023,15-Jan 6pm,163671.01
2023,15-Jan 7pm,163558.43
2023,15-Jan 8pm,157422.89
2023,15-Jan 9pm,151224.67
2023,15-Jan 10pm,145588.85
2023,15-Jan 11pm,138973.92
2023,16-Jan 12am,132902.67
2023,16-Jan 1am,129628.45
2023,16-Jan 2am,127188.51
2023,16-Jan 3am,126960.84
2023,16-Jan 4am,129738.83
2023,16-Jan 5am,140599.93
2023,16-Jan 6am,155574.95
2023,16-Jan 7am,172703.3
2023,16-Jan 8am,185286.68
2023,16-Jan 9am,196882.59
2023,16-Jan 10am,201394.55
2023,16-Jan 11am,199304.82
2023,16-Jan 12pm,195382.85
2023,16-Jan 1pm,189024.48
2023,16-Jan 2pm,185609.3
2023,16-Jan 3pm,184493.59
2023,16-Jan 4pm,181578.07
2023,16-Jan 5pm,177192.34
2023,16-Jan 6pm,177026.68
2023,16-Jan 7pm,175641.78
2023,16-Jan 8pm,167796.36
2023,16-Jan 9pm,160786.1
2023,16-Jan 10pm,154184.1
2023,16-Jan 11pm,146483.33
2023,17-Jan 12am,140351.58
2023,17-Jan 1am,136327.62
2023,17-Jan 2am,134135.77
2023,17-Jan 3am,133865.14
2023,17-Jan 4am,137435.94
2023,17-Jan 5am,147688.94
2023,17-Jan 6am,162239.42
2023,17-Jan 7am,179213.03
2023,17-Jan 8am,191815.87
2023,17-Jan 9am,201241.62
2023,17-Jan 10am,204189.53
2023,17-Jan 11am,201394.64
2023,17-Jan 12pm,198480.51
2023,17-Jan 1pm,192781.92
2023,17-Jan 2pm,189093.9
2023,17-Jan 3pm,186796.77
2023,17-Jan 4pm,183154.7
2023,17-Jan 5pm,178849.36
2023,17-Jan 6pm,180305.79
2023,17-Jan 7pm,178554.7
2023,17-Jan 8pm,170617.61
2023,17-Jan 9pm,163289.53
2023,17-Jan 10pm,156564.91
2023,17-Jan 11pm,149544.55
2023,18-Jan 12am,143724.52
2023,18-Jan 1am,139653.26
2023,18-Jan 2am,137426.42
2023,18-Jan 3am,137477.97
2023,18-Jan 4am,140467.56
2023,18-Jan 5am,150331.71
2023,18-Jan 6am,165889.97
2023,18-Jan 7am,183702.84
2023,18-Jan 8am,195355.94
2023,18-Jan 9am,204716.06
2023,18-Jan 10am,207685.13
2023,18-Jan 11am,204967.88
2023,18-Jan 12pm,200517.38
2023,18-Jan 1pm,194861.14
2023,18-Jan 2pm,192399.85
2023,18-Jan 3pm,190377.51
2023,18-Jan 4pm,187691.12
2023,18-Jan 5pm,181172.9
2023,18-Jan 6pm,182752.7
2023,18-Jan 7pm,180443.8
2023,18-Jan 8pm,173379.13
2023,18-Jan 9pm,167071
2023,18-Jan 10pm,159461.59
2023,18-Jan 11pm,152829.45
2023,19-Jan 12am,145846.96
2023,19-Jan 1am,141937.75
2023,19-Jan 2am,139599.28
2023,19-Jan 3am,138806.09
2023,19-Jan 4am,142083.75
2023,19-Jan 5am,151740.62
2023,19-Jan 6am,167275.26
2023,19-Jan 7am,184748.74
2023,19-Jan 8am,195700.09
2023,19-Jan 9am,203529.16
2023,19-Jan 10am,204737.57
2023,19-Jan 11am,201658.72
2023,19-Jan 12pm,196764.12
2023,19-Jan 1pm,191976.83
2023,19-Jan 2pm,190006.9
2023,19-Jan 3pm,188171.54
2023,19-Jan 4pm,185721.82
2023,19-Jan 5pm,181786.5
2023,19-Jan 6pm,183323.1
2023,19-Jan 7pm,181496.62
2023,19-Jan 8pm,172701.76
2023,19-Jan 9pm,165616.98
2023,19-Jan 10pm,159556.95
2023,19-Jan 11pm,152592.48
2023,20-Jan 12am,145648.16
2023,20-Jan 1am,141269.86
2023,20-Jan 2am,138393.57
2023,20-Jan 3am,137771.1
2023,20-Jan 4am,140766.46
2023,20-Jan 5am,150123.11
2023,20-Jan 6am,166183.43
2023,20-Jan 7am,184231.86
2023,20-Jan 8am,193782.91
2023,20-Jan 9am,200877.05
2023,20-Jan 10am,205911.89
2023,20-Jan 11am,203796.18
2023,20-Jan 12pm,201168.95
2023,20-Jan 1pm,194443.72
2023,20-Jan 2pm,190313.33
2023,20-Jan 3pm,189087.88
2023,20-Jan 4pm,185251.29
2023,20-Jan 5pm,181024.97
2023,20-Jan 6pm,182288.24
2023,20-Jan 7pm,179651.97
2023,20-Jan 8pm,171879.49
2023,20-Jan 9pm,165805.99
2023,20-Jan 10pm,159029.58
2023,20-Jan 11pm,152126.76
2023,21-Jan 12am,145744.41
2023,21-Jan 1am,141773.98
2023,21-Jan 2am,139129.63
2023,21-Jan 3am,138594.14
2023,21-Jan 4am,141825.99
2023,21-Jan 5am,151052.08
2023,21-Jan 6am,166006.69
2023,21-Jan 7am,182821.89
2023,21-Jan 8am,193544.77
2023,21-Jan 9am,200023.12
2023,21-Jan 10am,202219.41
2023,21-Jan 11am,199347.68
2023,21-Jan 12pm,196032.51
2023,21-Jan 1pm,189103.35
2023,21-Jan 2pm,187085.42
2023,21-Jan 3pm,185868.94
2023,21-Jan 4pm,183008.42
2023,21-Jan 5pm,177311.2
2023,21-Jan 6pm,179971.65
2023,21-Jan 7pm,177674.31
2023,21-Jan 8pm,169173.97
2023,21-Jan 9pm,163191.07
2023,21-Jan 10pm,157209.18
2023,21-Jan 11pm,150669.99
2023,22-Jan 12am,144647.15
2023,22-Jan 1am,141127.4
2023,22-Jan 2am,138631.5
2023,22-Jan 3am,138062.59
2023,22-Jan 4am,140787.29
2023,22-Jan 5am,148689.27
2023,22-Jan 6am,159273.33
2023,22-Jan 7am,173890.56
2023,22-Jan 8am,185805.44
