,Load
1,0.830486827
2,0.813824297
3,0.80814007
4,0.795090095
5,0.813763505
6,0.860494255
7,0.93189348
8,0.977709112
9,0.967105665
10,0.949314697
11,0.951580568
12,0.939008164
13,0.896774276
14,0.866993377
15,0.854151772
16,0.861072264
17,0.867297466
18,0.902728682
19,0.961157481
20,1
21,0.985590456
22,0.956463661
23,0.912502395
24,0.864506183
