,Capacities (kW),Capex ($/y),FOM ($/y),Expected opex ($/y),Expected cost ($/y)
Coal,0.5942599748153848,38.968684216110994,10.399549559269234,,
Solar,0.5260517245341344,26.78976504951457,6.57564655667668,,
Wind,1.1884268680001542,111.33037798680893,23.768537360003084,,
Storage,0.7242892172460388,15.23130833752575,5.214882364171479,,
Total,3.033027784595712,192.32013558996024,45.95861584012048,127.56024542698026,365.838996857061
