,Capacities (kW),Capex ($/y),FOM ($/y),Total capex ($),Expected opex ($/y),Expected cost ($/y)
Coal,0.6469755729578066,60.60788175113485,15.527413750987359,646.9755729578067,,
Solar,0.4638253650077777,23.89782663799414,2.5510395075427774,255.10395075427775,,
Wind,0.995781346545626,79.29104363505114,12.945157505093139,846.4141445637821,,
Storage,0.014213976388432581,0.5172331806258331,0.04264192916529774,4.264192916529774,,
Total,2.120796260899643,164.31398520480596,31.066252692788574,1752.7578611923964,150.61884967864947,345.999087576244
