t,s,Coal,Solar,Wind,Storage injection,Storage generation,storage_status,unmet,surplus,lower_fcas,up_fcas,lower_fcas_stor,up_fcas_stor,Load,dual_demand
1,Avg,0.0,0.0,0.0,0.0,0.0,0.0,0.895,0.0,0.0,0.0,3.1711595410376123,0.0,0.895,365.0
2,Avg,0.0,0.0,1.578674306550332,0.6996743065503319,0.0,0.6996743065503319,0.0,0.0,0.0,0.0,3.1711595410376123,0.23680114598254978,0.879,-0.0
3,Avg,0.0,0.0,1.4273264748014063,0.5533264748014063,0.0,1.253000781351738,0.0,0.0,0.0,0.0,3.1711595410376123,0.21409897122021093,0.874,-0.0
4,Avg,0.0,0.0,1.2806354994139861,0.41763549941398614,0.0,1.6706362807657242,0.0,0.0,0.0,0.0,3.1711595410376123,0.1920953249120979,0.863,-0.0
5,Avg,0.0,0.0,1.1502435212918347,0.2712435212918347,0.0,1.941879802057559,0.0,0.0,0.0,0.0,3.1711595410376123,0.1725365281937752,0.879,-0.0
6,Avg,0.0,0.0,1.0920328167730171,0.1970328167730171,0.0,2.138912618830576,0.0,0.0,0.0,0.0,3.1711595410376123,0.16380492251595255,0.895,-0.0
7,Avg,0.0,0.0,1.115317098580544,0.21031709858054404,0.0,2.34922971741112,0.0,0.0,0.0,0.0,3.1711595410376123,0.1672975647870816,0.905,-0.0
8,Avg,0.0,0.0,1.1432582367495765,0.21725823674957645,0.0,2.5664879541606966,0.0,0.0,0.0,0.0,3.1711595410376123,0.17148873551243646,0.926,-0.0
9,Avg,0.0,0.0,0.947,0.0,0.0,2.5664879541606966,0.0,0.0,0.0,0.0,3.1711595410376123,0.14204999999999998,0.947,-0.0
10,Avg,0.0,0.0,0.953,0.0,0.0,2.5664879541606966,0.0,0.0,0.0,0.0,3.1711595410376123,0.14295,0.953,-0.0
11,Avg,0.0,0.035942440421929955,0.92205755957807,0.0,0.0,2.5664879541606966,0.0,0.0,0.0,0.0,3.1711595410376123,0.1437,0.958,-0.0
12,Avg,0.0,0.713006005420997,0.7916655814559187,0.6046715868769157,0.0,3.1711595410376123,0.0,0.0,0.0,0.0,3.1711595410376123,0.22570073803153734,0.9,-0.0
13,Avg,0.0,0.2670106784737597,0.6379893215262403,0.0,0.0,3.1711595410376123,0.0,0.0,0.0,0.0,3.1711595410376123,0.13574999999999998,0.905,-0.0
14,Avg,0.0,0.4383290793072015,0.47267092069279854,0.0,0.0,3.1711595410376123,0.0,0.0,0.0,0.0,3.1711595410376123,0.13665,0.911,-0.0
15,Avg,0.0,0.5976916265138691,0.32830837348613096,0.0,0.0,3.1711595410376123,0.0,0.0,0.0,0.0,3.1711595410376123,0.1389,0.926,46.316230568829326
16,Avg,0.0,0.4013766532524031,0.26544081260580804,0.0,0.3113139268242097,2.8598456142134028,0.0,0.0,0.0,0.0,3.1711595410376123,0.10002261987873168,0.947,62.731817974408
17,Avg,0.0,0.13897545136826547,0.29105352259408773,0.0,0.5921900289307187,2.267655585282684,0.0,0.0,0.0,0.0,3.1711595410376123,0.06450434609435299,0.963,62.731817974408
18,Avg,0.0,0.0009718563032745838,0.38186222164344313,0.0,0.6735176911703137,1.5941378941123703,0.0,0.0,0.0,0.0,3.1711595410376123,0.057425111692007653,0.989,62.731817974408
19,Avg,0.0,0.0,0.4936267743195728,0.0,0.562636917422697,1.0315009766896734,0.0,0.0,0.0,0.0,3.1711595410376123,0.07404401614793592,1.0,62.731817974408
20,Avg,0.0,0.0,0.6473030342492512,0.0,0.391885517500832,0.6396154591888414,0.0,0.0,0.0,0.0,3.1711595410376123,0.09709545513738767,1.0,62.731817974408
21,Avg,0.0,0.0,0.7637244432868862,0.0,0.26252839634790426,0.3770870628409372,0.0,0.0,0.0,0.0,3.1711595410376123,0.11455866649303292,1.0,92.24480693641343
22,Avg,0.0,0.0,0.8335772887094672,0.0,0.12602523476725863,0.2510618280736787,0.0,0.0,0.0,0.0,3.1711595410376123,0.12503659330642009,0.947,66.43765802480515
23,Avg,0.0,0.0,0.8987732777705429,0.0,0.02469635803273007,0.22636547004094865,0.0,0.0,0.0,0.0,3.1711595410376123,0.13481599166558145,0.921,-0.0
24,Avg,0.0,0.0,0.895,0.0,0.0,0.22636547004094865,0.0,0.0,0.0,0.0,3.1711595410376123,0.22636547004094865,0.895,-0.0
