t,s,Solar,Wind,Storage injection,Storage generation,storage_status,unmet,surplus,lower_fcas,up_fcas,lower_fcas_stor,up_fcas_stor,Load,dual_demand,emission
1,Avg,0.0,0.0,0.0,0.6469856050561839,6.331341242238595,0.0,0.0,0.0,0.0,6.331341242238595,0.0,0.5822870445505655,-0.0,0.0
2,Avg,0.0,0.0,0.0,0.6301708736239424,5.701170368614652,0.0,0.0,0.0,0.0,6.331341242238595,0.0,0.5671537862615481,-0.0,0.0
3,Avg,0.0,0.0,0.0,0.6150231227015853,5.086147245913066,0.0,0.0,0.0,0.0,6.331341242238595,0.0,0.5535208104314268,-0.0,0.0
4,Avg,0.0,0.0,0.0,0.6113610177551001,4.474786228157966,0.0,0.0,0.0,0.0,6.331341242238595,0.0,0.5502249159795901,-0.0,0.0
5,Avg,0.0,0.0,0.0,0.6239367475571406,3.8508494806008255,0.0,0.0,0.0,0.0,6.331341242238595,0.0,0.5615430728014265,-0.0,0.0
6,Avg,0.0,0.23466579530587747,0.7645010069789819,1.2622608022960558,3.3530896852837517,0.0,0.0,0.0,0.0,6.331341242238595,0.02346657953058775,0.6061995103933456,-0.0,0.0
7,Avg,0.0,0.0,0.0,0.7276570978165636,2.625432587467188,0.0,0.0,0.0,0.0,6.331341242238595,0.0,0.6548913880349072,-0.0,0.0
8,Avg,0.5269423757763404,0.0,1.7778618855773334,2.175300117733444,2.227994355311078,0.0,0.0,0.0,0.0,6.331341242238595,0.05269423757763404,0.7068505961591067,-0.0,0.0
9,Avg,1.0256556957075194,0.0,0.2724973864804767,0.0,2.5004917417915546,0.0,0.0,0.0,0.0,6.331341242238595,0.10256556957075194,0.7531583092270426,-0.0,0.0
10,Avg,1.3609826621106453,0.0,0.5654708537110099,0.0,3.0659625955025644,0.0,0.0,0.0,0.0,6.331341242238595,0.13609826621106455,0.7955118083996354,-0.0,0.0
11,Avg,1.5551643492879654,0.0,3.7293583070959375,3.3199022338348527,3.4754186687636492,0.0,0.0,0.0,0.0,6.331341242238595,0.15551643492879655,0.8137180526433953,-0.0,0.0
12,Avg,1.627020127802921,0.0,0.8196163554125925,0.0,4.295035024176242,0.0,0.0,0.0,0.0,6.331341242238595,0.16270201278029212,0.8074037723903286,-0.0,0.0
13,Avg,0.7927539950902834,0.0,0.0,0.0,4.295035024176242,0.0,0.0,0.0,0.0,6.331341242238595,0.07927539950902834,0.7927539950902834,-0.0,0.0
14,Avg,1.6030682016312692,0.0,0.8326564124133081,0.0,5.12769143658955,0.0,0.0,0.0,0.0,6.331341242238595,0.16030682016312692,0.770411789217961,-0.0,0.0
15,Avg,1.2745846427057583,0.0,0.5289049957092323,0.0,5.656596432298782,0.0,0.0,0.0,0.0,6.331341242238595,0.12745846427057583,0.745679646996526,-0.0,0.0
16,Avg,0.8853658424164159,0.0,0.15653919002555483,0.0,5.813135622324337,0.0,0.0,0.0,0.0,6.331341242238595,0.0885365842416416,0.7288266523908611,-0.0,0.0
17,Avg,0.0,0.4382847406117073,0.0,0.30103418536239135,5.512101436961945,0.0,0.0,0.0,0.0,6.331341242238595,0.043828474061170734,0.7092155074378595,-0.0,0.0
18,Avg,0.0,0.6874659457600507,4.4362844887571615,4.939819665571551,5.008566260147556,0.0,0.0,0.0,0.0,6.331341242238595,0.06874659457600507,0.6970191560172845,-0.0,0.0
19,Avg,0.0,0.8648765121105048,0.16118147621237833,0.0,5.169747736359934,0.0,0.0,0.0,0.0,6.331341242238595,0.08648765121105048,0.7036950358981264,-0.0,0.0
20,Avg,0.0,0.8870528330688889,0.20033675972318832,0.0,5.370084496083122,0.0,0.0,0.0,0.0,6.331341242238595,0.0887052833068889,0.6867160733457006,-0.0,0.0
21,Avg,0.0,0.0,0.0,0.720481652745149,4.6496028433379735,0.0,0.0,0.0,0.0,6.331341242238595,0.0,0.648433487470634,-0.0,0.0
22,Avg,0.0,0.6991589142146509,0.08215944290085964,0.0,4.731762286238833,0.0,0.0,0.0,0.0,6.331341242238595,0.06991589142146509,0.6169994713137913,-0.0,0.0
23,Avg,0.0,0.5902933397378455,0.000685872290553835,0.0,4.732448158529387,0.0,0.0,0.0,0.0,6.331341242238595,0.05902933397378455,0.5896074674472916,-0.0,0.0
24,Avg,0.0,0.4673155609549493,0.0,0.10791159473102607,4.624536563798361,0.0,0.0,0.0,0.0,6.331341242238595,0.04673155609549493,0.5644359962128728,-0.0,0.0
25,Avg,0.0,0.33627366486144983,3.37345418878371,3.982181693047963,4.015809059534108,0.0,0.0,0.0,0.0,6.331341242238595,0.033627366486144984,0.5467829998209065,-0.0,0.0
26,Avg,0.0,0.29030820014087066,0.0,0.27014766475489216,3.7456613947792157,0.0,0.0,0.0,0.0,6.331341242238595,0.029030820014087067,0.5334410984202735,-0.0,0.0
27,Avg,0.0,0.2798248482953964,0.0,0.272031515381122,3.4736298793980938,0.0,0.0,0.0,0.0,6.331341242238595,0.02798248482953964,0.5246532121384062,-0.0,0.0
28,Avg,0.0,0.0,0.0,0.5802463731752068,2.8933835062228868,0.0,0.0,0.0,0.0,6.331341242238595,0.0,0.522221735857686,-0.0,0.0
29,Avg,0.0,0.2568421156059518,0.0,0.31033376043443744,2.583049745788449,0.0,0.0,0.0,0.0,6.331341242238595,0.025684211560595183,0.5361424999969455,-0.0,0.0
30,Avg,0.0,0.0,0.0,0.6507360420411445,1.9323137037473046,0.0,0.0,0.0,0.0,6.331341242238595,0.0,0.5856624378370301,-0.0,0.0
